,state-county,Date,ML,state,county
0,Alabama-Baldwin,2020-04-07,0.0,Alabama,Baldwin
1,Alabama-Baldwin,2020-04-08,2.28,Alabama,Baldwin
2,Alabama-Baldwin,2020-04-09,1.61,Alabama,Baldwin
3,Alabama-Baldwin,2020-04-10,1.4,Alabama,Baldwin
4,Alabama-Baldwin,2020-04-11,1.3,Alabama,Baldwin
5,Alabama-Baldwin,2020-04-12,1.24,Alabama,Baldwin
6,Alabama-Baldwin,2020-04-13,1.2,Alabama,Baldwin
7,Alabama-Baldwin,2020-04-14,1.33,Alabama,Baldwin
8,Alabama-Baldwin,2020-04-15,1.29,Alabama,Baldwin
9,Alabama-Baldwin,2020-04-16,1.12,Alabama,Baldwin
10,Alabama-Baldwin,2020-04-17,1.11,Alabama,Baldwin
11,Alabama-Baldwin,2020-04-18,1.0,Alabama,Baldwin
12,Alabama-Baldwin,2020-04-19,1.0,Alabama,Baldwin
13,Alabama-Baldwin,2020-04-20,1.09,Alabama,Baldwin
14,Alabama-Baldwin,2020-04-21,1.17,Alabama,Baldwin
15,Alabama-Baldwin,2020-04-22,1.15,Alabama,Baldwin
16,Alabama-Baldwin,2020-04-23,1.14,Alabama,Baldwin
17,Alabama-Baldwin,2020-04-24,1.13,Alabama,Baldwin
18,Alabama-Baldwin,2020-04-25,1.12,Alabama,Baldwin
19,Alabama-Baldwin,2020-04-26,1.06,Alabama,Baldwin
20,Alabama-Baldwin,2020-04-27,0.99,Alabama,Baldwin
21,Alabama-Baldwin,2020-04-28,0.99,Alabama,Baldwin
22,Alabama-Baldwin,2020-04-29,0.94,Alabama,Baldwin
23,Alabama-Baldwin,2020-04-30,0.8300000000000001,Alabama,Baldwin
24,Alabama-Butler,2020-04-26,0.0,Alabama,Butler
25,Alabama-Butler,2020-04-27,2.28,Alabama,Butler
26,Alabama-Butler,2020-04-28,1.61,Alabama,Butler
27,Alabama-Butler,2020-04-29,1.4,Alabama,Butler
28,Alabama-Butler,2020-04-30,1.0,Alabama,Butler
29,Alabama-Calhoun,2020-04-05,0.0,Alabama,Calhoun
30,Alabama-Calhoun,2020-04-06,2.28,Alabama,Calhoun
31,Alabama-Calhoun,2020-04-07,1.61,Alabama,Calhoun
32,Alabama-Calhoun,2020-04-08,1.4,Alabama,Calhoun
33,Alabama-Calhoun,2020-04-09,1.0,Alabama,Calhoun
34,Alabama-Calhoun,2020-04-10,0.11,Alabama,Calhoun
